time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1697853786174040800,8.259040771484376,10,20,100,15.5,0.4899999797344208,0,46,-51.1216413,-30.0758366
1697853786849486300,8.934486328125,0,20,100,12.5,0.002745238831266761,0,47,-51.121679,-30.0758296
1697853787854846200,9.93984619140625,0,20,100,10.833000183105469,0.061972834169864655,0,67,-51.1216442,-30.0758446
1697853788865069600,10.950069580078125,10,20,100,10,0.24186556041240692,180,67,-51.1216358,-30.0758497
1697853789846800100,11.931800048828125,10,20,100,9.399999618530273,0.21677722036838531,180,67,-51.1216321,-30.0758517
1697853790863244800,12.948244873046875,10,20,100,9,0.11652017384767532,180,67,-51.1216306,-30.0758521
1697853791858873600,13.94387353515625,0,20,100,7.099999904632568,0.045767493546009064,0,67,-51.12163,-30.075852
1697853792856862500,14.941862548828125,0,20,100,7,0.014137599617242813,0,67,-51.1216297,-30.0758518
1697853793857288400,15.942288330078124,0,20,100,6.915999889373779,0.0015730629675090313,0,67,-51.1216296,-30.0758517
1697853794876373000,16.961373046875,0,20,100,6.800000190734863,0.0011622747406363487,0,67,-51.1216295,-30.0758517
1697853795876309200,17.961309326171875,0,20,100,6.599999904632568,0.0011890935711562634,0,67,-51.1216295,-30.0758517
1697853796858833700,18.943833740234375,0,20,100,6.5,0.0006436353432945907,0,67,-51.1216295,-30.0758517
1697853797859341000,19.944341064453123,0,20,100,6.5,0.00027433098875917494,0,67,-51.1216295,-30.0758517
1697853798871093800,20.95609375,0,20,100,6.400000095367432,0.00007149489101720974,0,67,-51.1216295,-30.0758517
1697853799864715300,21.94971533203125,0,20,100,6.333000183105469,0.000008220324161811732,0,67,-51.1216295,-30.0758517
1697853800871593700,22.95659375,0,20,100,6.25,0.000005362644060369348,0,67,-51.1216295,-30.0758517
1697853801858914000,23.9439140625,0,20,100,6.400000095367432,0.000005399954261520179,0,67,-51.1216295,-30.0758517
1697853802848437200,24.933437255859374,0,20,100,6.415999889373779,0.0000030019564292160794,0,67,-51.1216295,-30.0758517
1697853803870039000,25.9550390625,0,20,100,6.165999889373779,0.000001132182319452113,0,67,-51.1216295,-30.0758517
1697853804859168000,26.94416796875,0,20,100,6,3.157724677294027e-7,0,67,-51.1216295,-30.0758517
1697853805870265000,27.95526513671875,0,20,100,5.833000183105469,5.334008790214284e-8,0,67,-51.1216295,-30.0758517
1697853806850787600,28.93578759765625,0,20,100,5.5,6.771965654905898e-9,0,67,-51.1216295,-30.0758517
1697853807874826200,29.959826171875,0,20,100,4.800000190734863,1.1081755069142218e-8,0,67,-51.1216295,-30.0758517
1697853808851984400,30.936984375,0,20,100,4.665999889373779,6.124309059885036e-9,0,67,-51.1216295,-30.0758517
1697853809859890000,31.944889892578125,0,20,100,4.300000190734863,2.382600783334965e-9,0,67,-51.1216295,-30.0758517
1697853810857489000,32.942489013671874,0,20,100,4.25,7.045850014542054e-10,0,67,-51.1216295,-30.0758517
1697853811878806000,33.96380590820313,0,20,100,3.9000000953674316,1.2986063613329435e-10,0,67,-51.1216295,-30.0758517
1697853812879671300,34.96467138671875,0,20,100,3.799999952316284,8.476939636348213e-12,0,67,-51.1216295,-30.0758517
1697853813870728400,35.955728515625,0,20,100,3.700000047683716,2.2018480788643657e-11,0,67,-51.1216295,-30.0758517
1697853814866775000,36.95177514648437,0,20,100,3.5999999046325684,1.2722409931109624e-11,0,67,-51.1216295,-30.0758517
1697853815865769500,37.95076953125,0,20,100,3.5,5.122768095139341e-12,0,67,-51.1216295,-30.0758517
1697853816879807200,38.96480712890625,0,20,100,3.5,1.544175486263566e-12,0,67,-51.1216295,-30.0758517
1697853817865396500,39.950396484375,0,20,100,3.4159998893737793,3.148583282118478e-13,0,67,-51.1216295,-30.0758517
1697853818882269200,40.967269287109374,0,20,100,3.299999952316284,4.164568775282592e-15,0,67,-51.1216295,-30.0758517
1697853819911100000,41.996099853515624,0,20,100,3.200000047683716,4.2233171170316663e-14,0,67,-51.1216295,-30.0758517
1697853820859252500,42.94425244140625,0,20,100,3.1659998893737793,2.6502890119605056e-14,0,67,-51.1216295,-30.0758517
1697853821876215800,43.9612158203125,0,20,100,3.0829999446868896,1.0994287755585266e-14,0,67,-51.1216295,-30.0758517
1697853822880614400,44.96561450195313,0,20,100,3,3.4747068147978266e-15,0,67,-51.1216295,-30.0758517
1697853823874256600,45.95925659179687,0,20,100,3,3.356695484668838e-16,0,67,-51.1216295,-30.0758517
1697853824872233700,46.957233642578124,0,20,100,3,1.6262253052273297e-16,0,67,-51.1216295,-30.0758517
1697853825860063000,47.94506298828125,0,20,100,3,1.6097351619310645e-16,0,67,-51.1216295,-30.0758517
1697853827050039800,49.13503979492187,0,20,100,3,1.1246015412536963e-16,0,67,-51.1216295,-30.0758517
1697853828070237700,50.15523779296875,0,20,100,3,7.085367076311178e-17,0,67,-51.1216295,-30.0758517
1697853829071801300,51.15680126953125,0,20,100,3,7.033392340574266e-17,0,67,-51.1216295,-30.0758517
1697853829891074800,51.97607470703125,0,20,100,3,6.983160639824126e-17,0,67,-51.1216295,-30.0758517
1697853830857529900,52.94252978515625,0,20,100,3,6.933509288991753e-17,0,67,-51.1216295,-30.0758517
1697853831875321600,53.96032153320313,0,20,100,3,6.884200060060732e-17,0,67,-51.1216295,-30.0758517
1697853833068965600,55.15396557617188,0,20,100,3,6.834492460946706e-17,0,67,-51.1216295,-30.0758517
1697853834087629300,56.17262939453125,0,20,100,3,6.78526330309898e-17,0,67,-51.1216295,-30.0758517
1697853834880824600,56.96582446289062,0,20,100,3,6.737158449139836e-17,0,67,-51.1216295,-30.0758517
1697853835883764500,57.96876440429688,0,20,100,3,6.68918792931217e-17,0,67,-51.1216295,-30.0758517
1697853836862247000,58.94724682617188,0,20,100,3,6.641669380971204e-17,0,67,-51.1216295,-30.0758517
